[14.05.2026 02:31:47] ЗАПУСК | start
[14.05.2026 02:31:58] УДАЛЕНИЕ МАСТЕРА | Иванов А.
[14.05.2026 02:31:58] УДАЛЕНИЕ МАСТЕРА | Петров С.
[14.05.2026 02:31:59] УДАЛЕНИЕ МАСТЕРА | Сидоров Д.
[14.05.2026 02:32:05] ДОБАВЛЕНИЕ МАСТЕРА | Романович
[14.05.2026 02:32:26] ДОБАВЛЕНИЕ ЗАЯВКИ | 1212
[14.05.2026 02:32:28] ВЫХОД | exit
[14.05.2026 02:32:31] ЗАПУСК | start
[14.05.2026 02:32:52] ЗАПУСК | start
[14.05.2026 02:33:00] УДАЛЕНИЕ | 1212
